step,train_loss,test_loss
0,0.6807324886322021,0.689443826675415
1,0.6685765981674194,0.6867880821228027
2,0.6609805822372437,0.6855694651603699
3,0.6546477675437927,0.6845471262931824
4,0.6464774012565613,0.6834532618522644
5,0.6351025104522705,0.6832180619239807
6,0.6214635372161865,0.6852982044219971
7,0.6076030731201172,0.6909260749816895
8,0.5947261452674866,0.7002660632133484
9,0.5824994444847107,0.711663007736206
10,0.5698042511940002,0.7230007648468018
11,0.5556493997573853,0.7330975532531738
12,0.5396515727043152,0.7420980334281921
13,0.5220705270767212,0.750675618648529
14,0.5033340454101562,0.7599545121192932
15,0.48396047949790955,0.7702710628509521
16,0.46410179138183594,0.7811082601547241
17,0.4439810514450073,0.7917709350585938
18,0.42386966943740845,0.8010151386260986
19,0.4044075608253479,0.8087607622146606
20,0.3864055573940277,0.8150651454925537
21,0.37027621269226074,0.8212857246398926
22,0.3563487231731415,0.8288119435310364
23,0.3445836901664734,0.8374987244606018
24,0.33478644490242004,0.8471968173980713
25,0.32666683197021484,0.8571578860282898
26,0.3198971748352051,0.8669585585594177
27,0.31421056389808655,0.8762990236282349
28,0.3093884289264679,0.8853333592414856
29,0.3052607476711273,0.8942162394523621
30,0.3016974925994873,0.9030282497406006
31,0.29859021306037903,0.9118998646736145
32,0.29584577679634094,0.9208863377571106
33,0.2933943271636963,0.9298934936523438
34,0.2911796569824219,0.9387894868850708
35,0.2891591489315033,0.9474568367004395
36,0.28730225563049316,0.9558626413345337
37,0.28558680415153503,0.9640454053878784
38,0.2839955985546112,0.9720950126647949
39,0.28251463174819946,0.9800771474838257
40,0.281132310628891,0.9879977703094482
41,0.27983883023262024,0.9958436489105225
42,0.27862492203712463,1.00359046459198
43,0.277482807636261,1.0112072229385376
44,0.27640533447265625,1.0186768770217896
45,0.2753869593143463,1.0260065793991089
46,0.27442431449890137,1.0332032442092896
47,0.2735125720500946,1.0402902364730835
48,0.2726477384567261,1.0472731590270996
49,0.27182722091674805,1.0541659593582153
