step,train_loss,test_loss
0,0.14206713438034058,0.1417245864868164
1,0.13980424404144287,0.1396952122449875
2,0.13565881550312042,0.1361398994922638
3,0.1335517019033432,0.1342713087797165
4,0.13112859427928925,0.13211163878440857
